car	bicycle
polyhedron	actor
fault	system
weapon	helmet
screenwriter	television
basilica	mosaic
democracy	monarchy
apocalypse	fire
speed	post
laptop	notebook
snowboard	skiing
pointer	slide
sensor	radiator
hit	frame
theory	hypothesis
actor	actress
film	theatre
screen	monitor
dairy	honey
pesticide	pest
policeman	politician
neuropsychology	parapsychology
battery	energy
peninsula	island
chart	graph
simulation	robotics
society	culture
church	cathedral
translator	foreigner
biotope	biology
magma	volcano
brainstorming	telescope
level	score
penny	bargain
tsunami	sea
ostrich	orchard
cinnamon	candy
broom	dust
galaxy	astronomer
juice	milkshake
criminal	offender
past	antecedent
song	performer
gun	notebook
acetylcholine	iris
alphabet	pen
chorus	singer
wood	blanket
soldier	peace
lizard	crocodile
money	cash
calendar	holiday
government	lizard
chess	check
sonnet	beauty
worker	office
currency	exchange
polyester	cotton
tribunal	justice
tail	rear
accident	book
squall	wind
piano	harmony
sultan	ministry
desert	dune
multiplication	division
virus	blood
sword	environment
cricket	supporter
sculpture	statue
dress	dance
array	list
essay	homework
computer	machine
neurosis	mind
campaign	monkey
palace	skyscraper
helicopter	plane
flag	pole
window	roof
malware	worm
planet	star
runner	athlete
caliber	umbrella
drought	water
airport	piece
orchestra	band
syllabus	exam
theorem	theory
blizzard	rain
historian	historiographer
century	year
alloy	steel
magistrate	judge
chaos	class
sand	foot
freedom	oasis
cytoplasm	digit
map	square
parliament	congress
